2026-03-05 15:14:07,929 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=3d46c62f63c24014a7f07621d19a2508 "HTTP/1.1 202 Accepted"
2026-03-05 15:14:08,288 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=3d46c62f63c24014a7f07621d19a2508 "HTTP/1.1 202 Accepted"
2026-03-05 15:15:08,670 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=4.69
2026-03-05 15:18:47,290 | INFO     | ai_chat.backend | HTTP GET /api/conversations/a3a4e791-e9ef-46b5-a039-0c1ae4bfed3b status=200 ip=127.0.0.1 duration_ms=31.81
2026-03-05 15:18:47,304 | INFO     | ai_chat.backend | HTTP GET /api/conversations/a3a4e791-e9ef-46b5-a039-0c1ae4bfed3b status=200 ip=127.0.0.1 duration_ms=5.45
2026-03-05 15:19:12,740 | INFO     | ai_chat.backend | HTTP GET /api/conversations/a3a4e791-e9ef-46b5-a039-0c1ae4bfed3b status=200 ip=127.0.0.1 duration_ms=11.04
2026-03-05 15:20:19,821 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=6.26
2026-03-05 15:20:19,847 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=23.13
2026-03-05 15:20:48,773 | INFO     | ai_chat.backend | HTTP POST /api/agent/chat status=200 ip=127.0.0.1 duration_ms=4.31
2026-03-05 15:20:50,384 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:20:51,770 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=2cab991c9a184eab9ed575a6436b7a31 "HTTP/1.1 202 Accepted"
2026-03-05 15:20:52,106 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=2cab991c9a184eab9ed575a6436b7a31 "HTTP/1.1 202 Accepted"
2026-03-05 15:20:52,442 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=2cab991c9a184eab9ed575a6436b7a31 "HTTP/1.1 202 Accepted"
2026-03-05 15:21:32,456 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=5.76
2026-03-05 15:21:32,463 | INFO     | ai_chat.backend | HTTP GET /api/conversations/ec032fe1-a762-46b2-808d-a92643c6f358 status=200 ip=127.0.0.1 duration_ms=2.34
2026-03-05 15:23:03,317 | INFO     | services.logging_service | Logging initialized. log_file=/Users/songguodong/Workspace/Skywork/chatbot-system/backend/logs/app.log
2026-03-05 15:23:03,354 | INFO     | ai_chat.backend | Loaded local skills on startup: count=2 names=academic-pptx,video-studio
2026-03-05 15:23:08,872 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=22.91
2026-03-05 15:23:08,877 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=2.31
2026-03-05 15:23:37,980 | INFO     | ai_chat.backend | HTTP OPTIONS /api/agent/chat status=200 ip=127.0.0.1 duration_ms=0.44
